794,798.7897825,783,784,1284.303676,'2017-12-18T22:00:00'
784,793,774.9721068,788,1208.883013,'2017-12-18T23:00:00'
788,788,766,774.9730829,788.2802872,'2017-12-19T00:00:00'
775.2720001,796,775.2720001,794,952.7885354,'2017-12-19T01:00:00'
794,816.333,791,816.22,1745.931136,'2017-12-19T02:00:00'
815.001,816,798.069978,810.7,1382.131155,'2017-12-19T03:00:00'
811.8,820,809.99,815.5,848.1228849,'2017-12-19T04:00:00'
815.5,827.2764225,811.0000003,827,790.9752991,'2017-12-19T05:00:00'
827.2764225,836.2,823,836.2,974.8539601,'2017-12-19T06:00:00'
835.2,839,829,835.1,1032.694237,'2017-12-19T07:00:00'
835.1000001,857.05,834,854,1583.420196,'2017-12-19T08:00:00'
853.999,865,826.69,846.622,2240.618034,'2017-12-19T09:00:00'
846.622,847,758.0321381,785,8224.542972,'2017-12-19T10:00:00'
785,814.95,761.883,785.7852151,3443.486513,'2017-12-19T11:00:00'
785.7852151,814,780,799,1644.251197,'2017-12-19T12:00:00'
796.1108259,828,796.1108259,827,976.2321639,'2017-12-19T13:00:00'
827,832.2001496,795,806.0049877,1926.752992,'2017-12-19T14:00:00'
806.99,812.217628,783.1,803.75,1743.43892,'2017-12-19T15:00:00'
803.75,825.3346362,801,825.3346362,971.4562962,'2017-12-19T16:00:00'
823.000823,833.3296189,818.3511909,822,1216.638612,'2017-12-19T17:00:00'
822,838.47,816,825,913.5604754,'2017-12-19T18:00:00'
830,831.192593,818.2000001,821.8599999,460.7694517,'2017-12-19T19:00:00'
820,821.8599999,802,806.01,1228.3178,'2017-12-19T20:00:00'
806.01,808.579166,761.140156,766.1558603,3805.911507,'2017-12-19T21:00:00'
766.1558603,798.999998,761.1237844,780,2666.039401,'2017-12-19T22:00:00'
780,809.7581472,776.4,799.2455641,1223.105592,'2017-12-19T23:00:00'
799.2455641,807.9458945,710,741.7757619,4967.57009,'2017-12-20T00:00:00'
742.6789,757.6904065,727.111,745.068,3845.158439,'2017-12-20T01:00:00'
740,797,733,791,3069.5715,'2017-12-20T02:00:00'
791,799,768.159204,776.926577,1683.468551,'2017-12-20T03:00:00'
778.1142855,779.95,755.2222,771,1005.751882,'2017-12-20T04:00:00'
771,779.4998838,762,769.0000001,1145.316192,'2017-12-20T05:00:00'
769.0000001,773.9999999,740.3917649,757,1291.30966,'2017-12-20T06:00:00'
765,772,753.1,760.2,635.4258948,'2017-12-20T07:00:00'
760.3,798.76,760.3,798.76,640.7236287,'2017-12-20T08:00:00'
795.5505501,798.76,783.7831613,794,473.5493549,'2017-12-20T09:00:00'
794,815,793.210022,802.4,1220.305143,'2017-12-20T10:00:00'
806,817.4311927,797,810,827.0822366,'2017-12-20T11:00:00'
810,832.6086801,808.01,828.9999999,1406.606711,'2017-12-20T12:00:00'
826.0826,828.9999999,791.999208,793.0298429,1445.704227,'2017-12-20T13:00:00'
794,810,790.0315461,803.9359314,748.4879409,'2017-12-20T14:00:00'
803.9359314,812,790.01,791,1014.652562,'2017-12-20T15:00:00'
791,795.899,770,780.0271298,1492.239888,'2017-12-20T16:00:00'
783.9999999,808,781.1271299,801.59,1072.463069,'2017-12-20T17:00:00'
801.59,805,786,803,599.40961,'2017-12-20T18:00:00'
800.7,807,791.4874983,803,688.6172593,'2017-12-20T19:00:00'
805,812.5027329,800,809.5309278,972.9844865,'2017-12-20T20:00:00'
809,809,776.1034,785,699.6741869,'2017-12-20T21:00:00'
788.5,792.589442,770,778.5952433,1194.775219,'2017-12-20T22:00:00'
781.079404,798.3320828,777.2273921,796,287.0119638,'2017-12-20T23:00:00'
795.2,804.02,788.04,803.5779618,491.0306783,'2017-12-21T00:00:00'
803.5779618,805.2033588,786,800,505.161853,'2017-12-21T01:00:00'
800,801.6884721,792.1,792.1,669.0777555,'2017-12-21T02:00:00'
792.1,815.9879999,787.0638423,811,705.3296333,'2017-12-21T03:00:00'
810,832.95,806,831.815979,1077.260577,'2017-12-21T04:00:00'
831.815979,839.899,821,825,1690.592531,'2017-12-21T05:00:00'
832.0157777,839,822.5,838.99999,649.1871243,'2017-12-21T06:00:00'
838.99999,839,825.8425743,832,617.9434434,'2017-12-21T07:00:00'
834.5,838,825,828,588.5546235,'2017-12-21T08:00:00'
832.8,837,828.636,833.5,356.9518525,'2017-12-21T09:00:00'
833.5,834.9999999,821,828.95255,490.2845501,'2017-12-21T10:00:00'
828.95255,832.9999999,821.3,825.1,428.1260534,'2017-12-21T11:00:00'
824.1,831.6,821.50001,829.6252819,1039.054412,'2017-12-21T12:00:00'
830.01,831,806.57,808,1397.216956,'2017-12-21T13:00:00'
808,812.899,790,790.1,1444.379567,'2017-12-21T14:00:00'
790.1,790.2348925,730,732,5825.94016,'2017-12-21T15:00:00'
733,778.44438,723,757.0000001,3042.192735,'2017-12-21T16:00:00'
757.0000001,767.3544879,735,752,1282.161182,'2017-12-21T17:00:00'
752,765.5946645,748,752.3,753.803896,'2017-12-21T18:00:00'
755.8282509,758.8836782,743,743.2702297,1322.386029,'2017-12-21T19:00:00'
743.2702297,764.9847001,739.1164812,745.007019,642.6879112,'2017-12-21T20:00:00'
745.007019,775.1055433,745.007019,767.3544879,785.2280715,'2017-12-21T21:00:00'
767.3544879,779.9,762,768.2296539,589.5401791,'2017-12-21T22:00:00'
771,778,763.5017642,767.3584879,350.6320695,'2017-12-21T23:00:00'
771.999,784.5,752,759.1415711,634.8931495,'2017-12-22T00:00:00'
759.1415711,759.1416016,720.99,733.0945035,1912.502999,'2017-12-22T01:00:00'
730,736.799,691.2608462,694.2608463,2640.00589,'2017-12-22T02:00:00'
697.42837,700,637,672.7909998,7174.064445,'2017-12-22T03:00:00'
672.7909998,719.5,658.483,705,3615.979077,'2017-12-22T04:00:00'
705,715.2245277,675,686.997311,1761.822706,'2017-12-22T05:00:00'
684.7117544,693,650,651.95,2032.44931,'2017-12-22T06:00:00'
651.949,651.95,575,607.999992,10029.88283,'2017-12-22T07:00:00'
607.999992,640,595.001515,629.0062297,3177.762143,'2017-12-22T08:00:00'
628.0062297,674.999,628.0062297,653.3709419,3303.183856,'2017-12-22T09:00:00'
653.3709419,692,639.8874801,660,2616.842734,'2017-12-22T10:00:00'
661,666.635,634.9916258,648.999,1556.169615,'2017-12-22T11:00:00'
648.999,664.0714593,629,636.165,1668.999202,'2017-12-22T12:00:00'
640,640.9,570,575.1324119,5128.441257,'2017-12-22T13:00:00'
575.1324119,580,509,563.399,8190.147261,'2017-12-22T14:00:00'
558,644.4724064,548.9538398,615.1,6412.068522,'2017-12-22T15:00:00'
615.1,625,569,603.2430174,2434.737103,'2017-12-22T16:00:00'
605.5,633,604.7017384,623.9,2169.274248,'2017-12-22T17:00:00'
623.9,645,605.416,642.6752128,2573.016438,'2017-12-22T18:00:00'
645,655,615,632.299,1382.823797,'2017-12-22T19:00:00'
632.299,665.99,625.11,660.3072284,2254.986697,'2017-12-22T20:00:00'
660.3072284,679,652,668,1576.810744,'2017-12-22T21:00:00'
661.01161,696,657.1,684.9069825,1883.230252,'2017-12-22T22:00:00'
687.998,687.998,612.2,635,3005.749091,'2017-12-22T23:00:00'
635,666.9934398,620,649,2083.086152,'2017-12-23T00:00:00'
650,667.668,636.1657383,663.99,1266.38631,'2017-12-23T01:00:00'
